"CountryCode"|"CountryName"|"FullyVaccinated"|"TravelOpenness"|"EntryRestrictions"|"Covid19Test"|"Quarantine"
ATG|Antigua and Barbuda|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ATG|Antigua and Barbuda|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
AUS|Australia|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
AUS|Australia|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
AUT|Austria|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
AUT|Austria|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
AZE|Azerbaijan|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
AZE|Azerbaijan|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BDI|Burundi|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BDI|Burundi|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BEL|Belgium|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BEL|Belgium|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BEN|Benin|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BEN|Benin|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BFA|Burkina Faso|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
BFA|Burkina Faso|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
BGD|Bangladesh|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BGD|Bangladesh|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BGR|Bulgaria|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
BGR|Bulgaria|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BHR|Bahrain|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BHR|Bahrain|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BHS|Bahamas|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BHS|Bahamas|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BIH|Bosnia and Herzegovina|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BIH|Bosnia and Herzegovina|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BLR|Belarus|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BLR|Belarus|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BLZ|Belize|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
BLZ|Belize|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BMU|Bermuda|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BMU|Bermuda|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BOL|Bolivia|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BOL|Bolivia|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BRA|Brazil|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BRA|Brazil|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
BRB|Barbados|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BRB|Barbados|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BRN|Brunei|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BRN|Brunei|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BTN|Bhutan|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BTN|Bhutan|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
BWA|Botswana|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
BWA|Botswana|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
CAF|Central African Republic|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MAY_BE_REQUIRED_COVID_19_TEST|MANDATORY_QUARANTINE
CAF|Central African Republic|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MAY_BE_REQUIRED_COVID_19_TEST|MANDATORY_QUARANTINE
CAN|Canada|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CAN|Canada|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CCK|Cocos (Keeling) Islands|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CCK|Cocos (Keeling) Islands|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CHE|Switzerland|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CHE|Switzerland|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CHL|Chile|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CHL|Chile|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CHN|China|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CHN|China|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CIV|Ivory Coast|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|RECOMMENDED_QUARANTINE
CIV|Ivory Coast|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|RECOMMENDED_QUARANTINE
CMR|Cameroon|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
CMR|Cameroon|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
COD|Democratic Republic of the Congo|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
COD|Democratic Republic of the Congo|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
COG|Congo|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
COG|Congo|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
COK|Cook Islands|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
COK|Cook Islands|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
COL|Colombia|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
COL|Colombia|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
COM|Comoros|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
COM|Comoros|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CPV|Cape Verde|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CPV|Cape Verde|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CRI|Costa Rica|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CRI|Costa Rica|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CUB|Cuba|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CUB|Cuba|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CXR|Christmas Island|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CXR|Christmas Island|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CYM|Cayman Islands|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CYM|Cayman Islands|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CYP|Cyprus|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
CYP|Cyprus|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CZE|Czech Republic|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
CZE|Czech Republic|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
DEU|Germany|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
DEU|Germany|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
DJI|Djibouti|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
DJI|Djibouti|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
DMA|Dominica|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
DMA|Dominica|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
DNK|Denmark|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
DNK|Denmark|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
DOM|Dominican Republic|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MAY_BE_REQUIRED_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
DOM|Dominican Republic|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MAY_BE_REQUIRED_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
DZA|Algeria|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
DZA|Algeria|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ECU|Ecuador|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
ECU|Ecuador|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
EGY|Egypt|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
EGY|Egypt|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
ERI|Eritrea|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ERI|Eritrea|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ESP|Spain|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
ESP|Spain|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
EST|Estonia|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
EST|Estonia|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
ETH|Ethiopia|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ETH|Ethiopia|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FIN|Finland|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
FIN|Finland|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
FJI|Fiji|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FJI|Fiji|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FLK|Falkland Islands (Islas Malvinas)|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FLK|Falkland Islands (Islas Malvinas)|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FRA|France|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
FRA|France|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
FRO|Faroe Islands|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FRO|Faroe Islands|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FSM|Micronesia|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
FSM|Micronesia|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GAB|Gabon|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GAB|Gabon|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GBR|United Kingdom|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GBR|United Kingdom|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GEO|Georgia|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GEO|Georgia|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GGY|Guernsey|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GGY|Guernsey|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GHA|Ghana|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GHA|Ghana|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GIB|Gibraltar|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GIB|Gibraltar|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GIN|Guinea|0|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GIN|Guinea|1|NO_INFORMATION|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GLP|Guadeloupe|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GLP|Guadeloupe|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GMB|Gambia|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GMB|Gambia|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GNB|Guinea-Bissau|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GNB|Guinea-Bissau|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GNQ|Equatorial Guinea|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GNQ|Equatorial Guinea|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GRC|Greece|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GRC|Greece|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GRD|Grenada|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GRD|Grenada|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GRL|Greenland|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GRL|Greenland|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
GTM|Guatemala|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GTM|Guatemala|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GUM|Guam|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|MANDATORY_QUARANTINE
GUM|Guam|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
GUY|Guyana|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
GUY|Guyana|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
HKG|Hong Kong|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
HKG|Hong Kong|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
